Drug Name,Company,Active Ingredient,Indication,Dosage and Administration,Side Effects,Use in pregnancy,,
Alprax XR,Opsonin,Alprazolam ,"Anxiety disorders, panic disorders",Start with 0.5–1 mg once daily; adjust as needed,"Drowsiness, light-headedness, depression, headache, confusion, dry mouth, constipation",Category D; should be avoided during pregnancy and lactation,,
Alzolam,Sun Pharmaceutical,Alprazolam,"Anxiety disorders, short-term relief of anxiety, anxiety associated with depression, panic disorder with or without agoraphobia",Start with 0.25–0.5 mg three times daily; maximum dose should not exceed 4 mg/day,"Drowsiness, light-headedness, depression, headache, confusion, dry mouth, constipation",Category D; should be avoided during pregnancy and lactation,,
Xanax,Navana Pharmaceuticals,Alprazolam,"Anxiety disorders, panic disorders",Start with 0.25–0.5 mg three times daily; adjust as needed,"Drowsiness, light-headedness, depression, headache, confusion, dry mouth, constipation",Category D; should be avoided during pregnancy and lactation,,
Zolax,Beximco,Alprazolam,"Anxiety disorders, panic disorders",Start with 0.25–0.5 mg three times daily; adjust as needed,"Drowsiness, light-headedness, depression, headache, confusion, dry mouth, constipation",Category D; should be avoided during pregnancy and lactation,,
Zolium,Incepta,Alprazolam,"Anxiety disorders, panic disorders",Start with 0.25–0.5 mg three times daily; adjust as needed,"Drowsiness, light-headedness, depression, headache, confusion, dry mouth, constipation",Category D; should be avoided during pregnancy and lactation,,
G-Diazepam,Gonoshasthaya,Diazepam,"Short-term treatment of mild to moderate anxiety, agitation, fear, aggressiveness, acute alcohol withdrawal, status epilepticus, premedication for surgical procedures, febrile convulsions, insomnia in hospitalized patients",5 mg tablet; dosage as directed by physician,"omnolence, dizziness, light-headedness, confusion, ataxia",Category D; should be avoided during pregnancy and lactation,,
Azepam,Acme,Diazepam,"Anxiety disorders, muscle spasms, seizures, alcohol withdrawal symptoms",5 mg tablet; dosage as directed by physician,"Somnolence, dizziness, light-headedness, confusion, ataxia",Should be avoided during pregnancy and lactation,,
Easium,Opsonin,Diazepam,"Anxiety disorders, muscle spasms, seizures, and alcohol withdrawal symptoms", 5 mg tablet; dosage as directed by physician,"Somnolence, dizziness, light-headedness, confusion, ataxia",Should be avoided during pregnancy and lactation,,
Sedil,Square,Diazepam,"Anxiety disorders, muscle spasms, seizures, alcohol withdrawal symptoms",5 mg tablet; dosage as directed by physician,"Somnolence, dizziness, light-headedness, confusion, ataxia",Category D; should be avoided during pregnancy and lactation,,
Seduxen,Ambee Pharmaceuticals,Diazepam,"Anxiety disorders, muscle spasms, seizures, alcohol withdrawal symptoms",5 mg tablet; dosage as directed by physician,"Somnolence, dizziness, light-headedness, confusion, ataxia",Category D; should be avoided during pregnancy and lactation,,
